Melody absolute pitch,count
64,6857
62,6730
57,6180
60,6094
59,5198
61,4373
65,4238
55,3858
67,3631
63,3355
66,3100
58,3066
69,2361
56,2144
52,2087
68,1949
54,1770
53,1403
70,1241
50,939
72,912
71,880
51,526
74,497
73,365
76,297
48,241
47,225
49,218
75,209
77,160
45,140
46,97
43,78
79,55
78,53
41,47
42,37
44,36
81,35
80,29
40,27
82,4
38,3
86,2
36,1
